https://www.circleofblue.org/waterpricing/,,,,General water price,,,,2010-2019 water rates data from 30 major U.S. cities,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,Family of 4 using 50 gallons,,,Family of 4 using 100 gallons,,,Family of 4 using 150 gallons,,,,,,,,
City,City Used,"gallons/
day","gallons/
month",Price 2018,Unit Price,Unit Price/ 1000 gallons,Price 2018,Unit Price,Unit Price/ 1000 gallons,Price 2018,Unit Price,Unit Price/ 1000 gallons,,,,,,
Northern Virginia (NoVA),Baltimore,400,12000, $39.51 , $0.00329 , $3.29 , $59.39 , $0.00495 , $4.95 , $79.26 , $0.00661 , $6.61 ,,,,,,
Dallas–Fort Worth,,400,12000, $21.69 , $0.00181 , $1.81 , $51.45 , $0.00429 , $4.29 , $96.30 , $0.00803 , $8.03 ,,,,,,
Silicon Valley,San Jose,400,12000, $55.34 , $0.00461 , $4.61 , $83.98 , $0.00700 , $7.00 , $112.62 , $0.00939 , $9.39 ,,,,,,
Phoenix,,400,12000, $12.22 , $0.00102 , $1.02 , $40.54 , $0.00338 , $3.38 , $71.58 , $0.00597 , $5.97 ,,,,,,
Chicago,,400,12000, $23.28 , $0.00194 , $1.94 , $46.56 , $0.00388 , $3.88 , $69.84 , $0.00582 , $5.82 ,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Family of 4 using 150 gallons per person per day
,,,,,,,,,,,,,,,,,,Family of 4 using 100 gallons per person per day
,,,,,,,,,,,,,,,,,,Family of 4 using 50 gallons per person per day
